id,title,sku,url,original_price,sale_price,total_stock,is_available,max_allow_per_order,category,fetched_at
8459562484000,DALDA COOKING OIL POUCH 1 LTR,AFP-000113352,https://alfatah.pk/products/dalda-cooking-oil-pouch-1-ltr,605.0,605.0,354,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8460496372000,SUFI CANOLA COOKING OIL POUCH 1 LTR,AFP-000113385,https://alfatah.pk/products/sufi-canola-cooking-oil-pouch-1-ltr,590.0,590.0,71,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459563630880,DALDA VTF BANASPATI GHEE POUCH 1 KG,AFP-000113350,https://alfatah.pk/products/dalda-vtf-banaspati-ghee-pouch-1-kg,605.0,605.0,285,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8460420972832,SEASONS CANOLA OIL POUCH 1 LTR,AFP-000113257,https://alfatah.pk/products/seasons-canola-oil-pouch-1-ltr,575.0,575.0,138,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459508318496,CANOLIVE PREMIUM CANOLA OIL POUCH 1 LTR,AFP-000113252,https://alfatah.pk/products/canolive-premium-canola-oil-pouch-1-ltr,625.0,625.0,173,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8460495421728,SUFI BANASPATI GHEE POUCH 1 KG,AFP-000113403,https://alfatah.pk/products/sufi-banaspati-ghee-pouch-1-kg,599.0,599.0,41,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8460173967648,MEZAN OLIVOLA OLIVE AND CANOLA OIL 1 LTR POUCH,AFP-000275341,https://alfatah.pk/products/olivola-olive-and-canola-oil-1-ltr-pouch,630.0,630.0,57,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8460644909344,WHITE ZEERA SABAT 100 GM,AFP-000091941,https://alfatah.pk/products/zeera-white-100-gm,165.0,165.0,40,Yes,No Limit,cooking-ingredients,2026-06-09 18:37:10
8459881972000,KNORR CHILLI GARLIC SAUCE POUCH 800 GM,AFP-000393003,https://alfatah.pk/products/knorr-chilli-garlic-sauce-pouch-800-gm,430.0,430.0,145,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8460036571424,NATIONAL IODIZED PINK HIMALAYAN SALT 800 GM POUCH,AFP-000280343,https://alfatah.pk/products/national-iodized-pink-himalayan-salt-800-gm-pouch,105.0,75.0,206,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8460500893984,SUFI SUNFLOWER COOKING OIL POUCH 1 LTR,AFP-000113384,https://alfatah.pk/products/sufi-sunflower-cooking-oil-pouch-1-ltr,590.0,590.0,87,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459679203616,FF SAFAID NAMAK 800 GM,AFP-000048290,https://alfatah.pk/products/ff-safaid-namak-800-gm,50.0,50.0,147,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:50
10065290330400,KNORR TOMATO KETCHUP POUCH 800 GM,AFP-000261255,https://alfatah.pk/products/knorr-tomato-ketchup-pouch-800-gm-1,420.0,420.0,0,No,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459676123424,FF DESI SAFAID ZEERA IRANI 100GM PC,AFP-000176369,https://alfatah.pk/products/ff-desi-safaid-zeera-irani-100gm-pc,180.0,180.0,258,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
9050272694560,KNORR CHICKEN POWDER 15 GM,AFP-000472179,https://alfatah.pk/products/knorr-chicken-powder-15-gm,30.0,30.0,98,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:50
8460431491360,SHAKKAR 500 GM,AFP-000089818,https://alfatah.pk/products/shakkar-500-gm,135.0,135.0,84,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459562254624,DALDA CANOLA OIL POUCH 1 LTR,AFP-000113338,https://alfatah.pk/products/dalda-canola-oil-pouch-1-ltr,605.0,605.0,80,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
9853524672800,KNORR CHATT PATTA ALL PURPOSE MASALA 15 GM,AFP-000551291,https://alfatah.pk/products/knorr-chatt-patta-all-purpose-masala-15-gm,30.0,30.0,195,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:50
8459562516768,DALDA COOKING OIL STAND UP POUCH 1 LTR,AFP-000451903,https://alfatah.pk/products/dalda-cooking-oil-stand-up-pouch-1-ltr,615.0,615.0,91,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8460431425824,SHAKKAR 1 KG,AFP-000089817,https://alfatah.pk/products/shakkar-1-kg,270.0,270.0,75,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8460369363232,RED CHILLI POWDER IMPORTED 250 GM,AFP-000085180,https://alfatah.pk/products/red-chilli-powder-imported-250-gm,225.0,225.0,159,Yes,No Limit,cooking-ingredients,2026-06-22 10:27:16
8459675009312,FF DESI KALI MIRCH POWDER 50GM PC,AFP-000176376,https://alfatah.pk/products/ff-desi-kali-mirch-powder-50gm-pc,190.0,190.0,77,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459675336992,FF DESI LAL MIRCH POWDER 250GM PC,AFP-000176382,https://alfatah.pk/products/ff-desi-lal-mirch-powder-250gm-pc,220.0,220.0,87,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8460637798688,YOUNGS FRENCH MAYONNAISE SMART POUCH 500 ML,AFP-000113273,https://alfatah.pk/products/youngs-french-mayonnaise-smart-pouch-500-ml,345.0,345.0,160,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8460037980448,NATIONAL MASALA BIRYANI DOUBLE PACK 78 GM,AFP-000114509,https://alfatah.pk/products/national-masala-biryani-double-pack-78-gm,290.0,270.0,97,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8460446662944,SHAN TAEST VIRGIN PINK HIMALAYAN SALT 800 GM,AFP-000114498,https://alfatah.pk/products/shan-taest-virgin-pink-himalayan-salt-800-gm,100.0,100.0,83,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459859067168,KASHMIR BANASPATI GHEE POUCH 1 KG,AFP-000113367,https://alfatah.pk/products/kashmir-banaspati-ghee-pouch-1-kg,599.0,599.0,43,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459676680480,FF GLAZE COOKING OIL POUCH 1 LTR,AFP-000258398,https://alfatah.pk/products/ff-glaze-cooking-oil-pouch-1-ltr,575.0,575.0,154,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459676188960,FF DESI SAFAID ZEERA IRANI 250GM PC,AFP-000351985,https://alfatah.pk/products/ff-desi-safaid-zeera-irani-250gm-pc,450.0,450.0,106,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459674091808,FF DESI DHARA MIRCH 80GM,AFP-000209084,https://alfatah.pk/products/ff-desi-dhara-mirch-80gm,70.0,70.0,105,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8460637765920,YOUNGS FRENCH MAYONNAISE POUCH 1 LTR,AFP-000113268,https://alfatah.pk/products/youngs-french-mayonnaise-pouch-1-ltr,599.0,599.0,225,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8986456391968,FF DESI SAABAT DHANIA WHOLE 200 GM,AFP-000458526,https://alfatah.pk/products/ff-desi-saabat-dhania-whole-200-gm,200.0,200.0,203,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459477287200,BLACK PEPPER SABAT 100 GM,AFP-000037624,https://alfatah.pk/products/black-pepper-sabat-100-gm,320.0,320.0,25,Yes,No Limit,cooking-ingredients,2026-06-09 18:37:10
8459675828512,FF DESI SAABAT DHANIA WHOLE 80GM,AFP-000176392,https://alfatah.pk/products/ff-desi-saabat-dhania-whole-80gm,80.0,80.0,110,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459975295264,MEZAN COOKING OIL POUCH 1 LTR,AFP-000113364,https://alfatah.pk/products/mezan-cooking-oil-pouch-1-ltr,575.0,575.0,30,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459676254496,FF DESI SAUNF 80GM,AFP-000209082,https://alfatah.pk/products/ff-desi-saunf-80gm,95.0,95.0,101,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:43
8459673927968,FF DESI DAAR CHEENI 50GM,AFP-000209076,https://alfatah.pk/products/ff-desi-daar-cheeni-50gm,80.0,80.0,114,Yes,No Limit,cooking-ingredients,2026-09-06 18:35:50
